deviceId,category,brand,model,weightKg,condition,owner,location
EW-0001,Laptop,Samsung,G14,3.71,Damaged,CollectorC,Kuala Lumpur
EW-0002,TV,Dell,Inspiron,9.05,Screen cracked,CollectorA,Melaka
EW-0003,Tablet,Acer,VivoX,4.2,Damaged,CollectorB,Kuala Lumpur
EW-0004,Printer,Samsung,ThinkPad,8.07,Battery issue,CollectorA,Perak
EW-0005,TV,HP,S10,12.84,Working,CollectorB,Penang
EW-0006,TV,HP,S10,9.16,Damaged,CollectorC,Melaka
EW-0007,TV,Lenovo,A1,3.47,Working,CollectorB,Johor
EW-0008,Camera,Acer,ThinkPad,2.19,Damaged,CollectorA,Melaka
EW-0009,TV,Xiaomi,Inspiron,7.43,Working,CollectorA,Selangor
EW-0010,Camera,LG,G14,14.57,Working,CollectorC,Melaka
EW-0011,Router,Xiaomi,ThinkPad,0.1,Broken,CollectorC,Selangor
EW-0012,Tablet,LG,Inspiron,13.78,Screen cracked,CollectorB,Johor
EW-0013,TV,Asus,S10,1.33,Battery issue,CollectorA,Perak
EW-0014,Router,Dell,Inspiron,11.34,Damaged,CollectorC,Penang
EW-0015,TV,Dell,S10,5.1,Screen cracked,CollectorC,Selangor
EW-0016,Laptop,Samsung,VivoX,1.11,Damaged,CollectorB,Melaka
EW-0017,Router,Dell,S10,1.5,Battery issue,CollectorB,Johor
EW-0018,Monitor,Apple,Pro15,2.91,Screen cracked,CollectorB,Selangor
EW-0019,Camera,LG,S10,0.81,Screen cracked,CollectorA,Kuala Lumpur
EW-0020,Router,Samsung,X200,5.72,Battery issue,CollectorB,Johor
EW-0021,TV,Samsung,Pavilion,11.05,Working,CollectorC,Penang
EW-0022,Laptop,Xiaomi,S10,8.95,Damaged,CollectorB,Kuala Lumpur
EW-0023,Monitor,HP,Pro15,10.06,Broken,CollectorA,Penang
EW-0024,Phone,Sony,Pavilion,14.98,Working,CollectorA,Perak
EW-0025,TV,Lenovo,G14,2.41,Screen cracked,CollectorC,Penang
EW-0026,Laptop,Apple,Inspiron,2.37,Broken,CollectorC,Selangor
EW-0027,Laptop,Acer,G14,0.71,Broken,CollectorA,Melaka
EW-0028,Laptop,Xiaomi,Inspiron,0.59,Broken,CollectorC,Perak
EW-0029,Phone,Lenovo,Pro15,10.25,Working,CollectorB,Perak
EW-0030,Router,Samsung,X200,11.06,Broken,CollectorB,Melaka
EW-0031,Camera,Dell,Pro15,12.26,Battery issue,CollectorB,Penang
EW-0032,Printer,Apple,G14,5.3,Screen cracked,CollectorB,Melaka
EW-0033,Printer,Samsung,S10,8.97,Broken,CollectorC,Penang
EW-0034,TV,HP,A1,10.65,Working,CollectorC,Perak
EW-0035,Monitor,Apple,G14,7.63,Battery issue,CollectorB,Johor
EW-0036,Router,Xiaomi,Pavilion,8.56,Battery issue,CollectorC,Kuala Lumpur
EW-0037,Camera,Sony,Pro15,7.69,Damaged,CollectorC,Kuala Lumpur
EW-0038,Printer,Dell,Pro15,2.25,Working,CollectorA,Johor
EW-0039,Router,Dell,X200,9.86,Working,CollectorA,Johor
EW-0040,TV,Apple,ThinkPad,2.04,Battery issue,CollectorC,Perak
EW-0041,Camera,Xiaomi,ThinkPad,6.78,Damaged,CollectorC,Penang
EW-0042,Printer,Dell,G14,5.07,Screen cracked,CollectorA,Selangor
EW-0043,Router,Acer,VivoX,8.16,Battery issue,CollectorA,Selangor
EW-0044,Monitor,HP,Note9,12.81,Battery issue,CollectorC,Melaka
EW-0045,Router,Sony,A1,5.86,Battery issue,CollectorC,Selangor
EW-0046,Router,Xiaomi,ThinkPad,2.77,Broken,CollectorB,Penang
EW-0047,Router,HP,S10,7.08,Screen cracked,CollectorA,Penang
EW-0048,TV,Samsung,Pavilion,2.33,Damaged,CollectorB,Melaka
EW-0049,Tablet,Asus,Pavilion,14.46,Working,CollectorA,Penang
EW-0050,TV,Apple,Pavilion,10.37,Damaged,CollectorA,Melaka
EW-0051,Router,Lenovo,S10,7.61,Broken,CollectorA,Johor
EW-0052,Tablet,Acer,X200,11.02,Broken,CollectorC,Perak
EW-0053,Laptop,HP,ThinkPad,3.7,Battery issue,CollectorC,Perak
EW-0054,Camera,Dell,VivoX,11.98,Broken,CollectorB,Perak
EW-0055,Router,Sony,Inspiron,11.38,Battery issue,CollectorC,Melaka
EW-0056,Router,Dell,G14,9.98,Broken,CollectorB,Perak
EW-0057,Camera,HP,G14,3.81,Working,CollectorC,Selangor
EW-0058,Camera,HP,Pavilion,14.65,Screen cracked,CollectorC,Penang
EW-0059,Printer,Samsung,Inspiron,1.94,Working,CollectorA,Perak
EW-0060,Printer,Sony,ThinkPad,6.64,Damaged,CollectorA,Penang
EW-0061,Phone,Xiaomi,X200,12.18,Broken,CollectorA,Selangor
EW-0062,Camera,HP,Pavilion,14.85,Broken,CollectorC,Perak
EW-0063,Laptop,Xiaomi,Pro15,2.65,Working,CollectorA,Kuala Lumpur
EW-0064,Printer,HP,ThinkPad,1.11,Damaged,CollectorB,Melaka
EW-0065,TV,Xiaomi,G14,12.41,Working,CollectorA,Selangor
EW-0066,Printer,Acer,G14,7.53,Battery issue,CollectorB,Kuala Lumpur
EW-0067,Laptop,Dell,Pavilion,8.83,Working,CollectorC,Penang
EW-0068,Tablet,Asus,Note9,9.54,Battery issue,CollectorA,Johor
EW-0069,Monitor,Acer,ThinkPad,4.36,Battery issue,CollectorC,Kuala Lumpur
EW-0070,Router,LG,A1,9.88,Screen cracked,CollectorB,Johor
EW-0071,Camera,Samsung,Pro15,4.04,Damaged,CollectorB,Johor
EW-0072,Phone,LG,Note9,1.44,Working,CollectorB,Kuala Lumpur
EW-0073,Camera,Dell,ThinkPad,8.29,Battery issue,CollectorA,Perak
EW-0074,Monitor,LG,G14,12.32,Broken,CollectorC,Penang
EW-0075,Camera,Lenovo,VivoX,8.3,Screen cracked,CollectorB,Johor
EW-0076,Phone,Lenovo,ThinkPad,10.59,Battery issue,CollectorB,Melaka
EW-0077,Camera,Apple,Inspiron,13.66,Working,CollectorC,Selangor
EW-0078,Monitor,Asus,Note9,9.77,Broken,CollectorC,Perak
EW-0079,Printer,Dell,S10,6.54,Working,CollectorC,Melaka
EW-0080,Monitor,Samsung,G14,5.41,Battery issue,CollectorA,Selangor
EW-0081,Router,Asus,Pro15,7.49,Screen cracked,CollectorA,Selangor
EW-0082,Phone,Sony,G14,10.18,Damaged,CollectorA,Johor
EW-0083,Printer,Dell,Note9,12.81,Working,CollectorA,Johor
EW-0084,Router,HP,A1,8.51,Working,CollectorC,Melaka
EW-0085,TV,Asus,G14,10.18,Damaged,CollectorC,Kuala Lumpur
EW-0086,Tablet,Apple,G14,4.93,Battery issue,CollectorA,Selangor
EW-0087,Camera,HP,VivoX,12.07,Battery issue,CollectorA,Selangor
EW-0088,Phone,HP,Inspiron,1.9,Broken,CollectorC,Melaka
EW-0089,TV,Sony,A1,9.31,Screen cracked,CollectorB,Perak
EW-0090,Router,Apple,X200,0.73,Working,CollectorB,Johor
EW-0091,Monitor,LG,Note9,8.83,Damaged,CollectorB,Melaka
EW-0092,Monitor,Dell,ThinkPad,6.7,Damaged,CollectorB,Kuala Lumpur
EW-0093,TV,Apple,ThinkPad,1.42,Damaged,CollectorC,Melaka
EW-0094,TV,Apple,Inspiron,3.15,Damaged,CollectorA,Penang
EW-0095,Printer,Xiaomi,S10,9.93,Working,CollectorA,Kuala Lumpur
EW-0096,Phone,Xiaomi,Note9,7.91,Working,CollectorB,Johor
EW-0097,Phone,LG,G14,6.9,Working,CollectorA,Johor
EW-0098,Laptop,Lenovo,Pavilion,2.27,Damaged,CollectorB,Perak
EW-0099,Router,Apple,S10,12.8,Screen cracked,CollectorC,Selangor
EW-0100,Router,Acer,S10,4.72,Broken,CollectorC,Penang
