deviceId,status,owner,location,note,timestamp
EW-0001,Registered,CollectorC,Kuala Lumpur,Initial registration,2026-01-01T08:49:00Z
EW-0001,Collected,CollectorC,Kuala Lumpur,Collected from user,2026-01-01T14:49:00Z
EW-0001,Recycled,RecyclerX,Kuala Lumpur,Final stage: recycled,2026-01-04T02:49:00Z
EW-0002,Registered,CollectorA,Melaka,Initial registration,2026-01-01T08:46:00Z
EW-0002,Collected,CollectorA,Melaka,Collected from user,2026-01-02T11:46:00Z
EW-0002,Disposed,RecyclerY,Kuala Lumpur,Final stage: disposed,2026-01-03T21:46:00Z
EW-0003,Registered,CollectorB,Kuala Lumpur,Initial registration,2025-12-29T19:01:00Z
EW-0003,Collected,CollectorB,Kuala Lumpur,Collected from user,2025-12-30T20:01:00Z
EW-0003,Disposed,RecyclerY,Perak,Final stage: disposed,2025-12-31T14:01:00Z
EW-0004,Registered,CollectorA,Perak,Initial registration,2025-12-30T22:23:00Z
EW-0004,Collected,CollectorA,Perak,Collected from user,2026-01-01T15:23:00Z
EW-0004,Recycled,RecyclerX,Kuala Lumpur,Final stage: recycled,2026-01-03T19:23:00Z
EW-0005,Registered,CollectorB,Penang,Initial registration,2025-12-31T20:16:00Z
EW-0005,Collected,CollectorB,Penang,Collected from user,2026-01-02T13:16:00Z
EW-0005,Recycled,RecyclerY,Penang,Final stage: recycled,2026-01-04T17:16:00Z
EW-0006,Registered,CollectorC,Melaka,Initial registration,2025-12-30T15:47:00Z
EW-0006,Collected,CollectorC,Melaka,Collected from user,2025-12-31T02:47:00Z
EW-0006,Disposed,RecyclerY,Melaka,Final stage: disposed,2026-01-02T19:47:00Z
EW-0007,Registered,CollectorB,Johor,Initial registration,2025-12-30T18:55:00Z
EW-0007,Collected,CollectorB,Johor,Collected from user,2025-12-30T23:55:00Z
EW-0007,Disposed,RecyclerX,Melaka,Final stage: disposed,2026-01-01T08:55:00Z
EW-0008,Registered,CollectorA,Melaka,Initial registration,2026-01-01T11:00:00Z
EW-0008,Collected,CollectorA,Melaka,Collected from user,2026-01-02T22:00:00Z
EW-0008,Disposed,RecyclerY,Penang,Final stage: disposed,2026-01-04T13:00:00Z
EW-0009,Registered,CollectorA,Selangor,Initial registration,2025-12-30T04:12:00Z
EW-0009,Collected,CollectorA,Selangor,Collected from user,2026-01-01T00:12:00Z
EW-0009,Recycled,RecyclerY,Johor,Final stage: recycled,2026-01-03T12:12:00Z
EW-0010,Registered,CollectorC,Melaka,Initial registration,2025-12-29T22:00:00Z
EW-0010,Collected,CollectorC,Melaka,Collected from user,2025-12-31T18:00:00Z
EW-0010,Disposed,RecyclerX,Penang,Final stage: disposed,2026-01-02T10:00:00Z
EW-0011,Registered,CollectorC,Selangor,Initial registration,2026-01-01T03:40:00Z
EW-0011,Collected,CollectorC,Selangor,Collected from user,2026-01-01T10:40:00Z
EW-0011,Recycled,RecyclerX,Penang,Final stage: recycled,2026-01-03T06:40:00Z
EW-0012,Registered,CollectorB,Johor,Initial registration,2025-12-29T09:01:00Z
EW-0012,Collected,CollectorB,Johor,Collected from user,2025-12-29T17:01:00Z
EW-0012,Disposed,RecyclerX,Kuala Lumpur,Final stage: disposed,2025-12-31T21:01:00Z
EW-0013,Registered,CollectorA,Perak,Initial registration,2025-12-29T23:32:00Z
EW-0013,Collected,CollectorA,Perak,Collected from user,2025-12-30T08:32:00Z
EW-0013,Recycled,RecyclerY,Perak,Final stage: recycled,2026-01-02T02:32:00Z
EW-0014,Registered,CollectorC,Penang,Initial registration,2025-12-31T12:50:00Z
EW-0014,Collected,CollectorC,Penang,Collected from user,2026-01-02T07:50:00Z
